Debater,Partner School,Rounds
Alexandra Uy-Tioco,Johns Hopkins,8
Alexandra Uy-Tioco,University of Chicago,8
Alexandra Uy-Tioco,Columbia,4
Alexandra Uy-Tioco,NYU,2
Alexandra Webster,Carnegie Mellon,10
Alexandra Webster,University of Pittsburgh,8
Alexandra Webster,Rutgers,4
Alexandria Westray,Harvard,8
Alexis Martos,University of Massachusetts,18
Alexis Nieves,Yale,20
Alexis Pickering,Pace,26
Ali Ahmad,Penn,12
Ali Medina,Harvard,13
Alice Marchant,Boston University,24
Alice Marchant,Brandeis,6
Alice Marchant,Wellesley,4
Alice Meroli,Rutgers,10
Alice Yeo,Fordham,10
Alicia Chen,Penn,2
Alicja Wolinska,University of Chicago,18
Alina Su,Harvard,10
Alison Chan,Georgetown,6
Alison Chan,George Washington,4
Alison Chan,Princeton,4
Alison Ren,Washington University in St. Louis,8
Alitza Soiffer,University of Chicago,6
Allan Lee,Penn,10
Allegra Hoddie,Boston University,45
Allegra Hoddie,Dartmouth,8
Allie Ruiz,Yale,10
Allie Wu,Binghamton University,6
Allison Barrie,Harvard,10
Allison Cooper,Washington University in St. Louis,32
Allison Li,Johns Hopkins,20
Allison Li,Wellesley,20
Allison Li,Northeastern,4
Allison Li,Princeton,2
Allison Ross,American,6
Allison Su,Johns Hopkins,4
Ally Ross,Penn,10
Ally Ross,Georgetown,4
Ally Ross,William and Mary,4
Allyson Lee,NYU,6
Alpha Zhang,Princeton,4
Alvaro Marin Garcia,Williams,20
Alyssa Zhang,Wellesley,12
Amal Sayed,Harvard,6
Amala Karri,George Washington,14
Aman Sharma,University of Chicago,17
Amanda Azia,William and Mary,6
Amanda Azia,George Washington,2
Amanda Wickstrom,George Washington,35
Amara Nwuneli,University of Chicago,4
Amaris Hester,Yale,8
Amaya Ranatunge,Amherst,6
Amber Pascovici,Dartmouth,10
Ambika Grover,Harvard,6
Ambika Rao,NYU,4
Amelia Bandy,George Washington,80
Amelia Jones,Smith,14
Amelia Jones,Amherst,10
Amelia Matin,Maryland,40
Amelia Peck,University of Virginia,16
Amelia Peck,University of Chicago,4
Amelia Rybicka-Fijol,University of Chicago,26
Amelia Rybicka-Fijol,Temple,6
Amethyst Stencik,Fordham,32
Amina Taslim,Rutgers,6
Amira Bhutani,Columbia,12
Amira Bhutani,University of Chicago,6
Amishai Goodman-Goldstein,American,8
Amit Banerjee,University of Pittsburgh,4
Ammar Aziz,Penn,10
Amna Amin,Princeton,12
Amna Amin,University of Pittsburgh,4
Amy Chang,Stanford,141
Amy Kim,Johns Hopkins,6
Amy Kim,University of Pittsburgh,2
Amy Lawton,Fordham,6
Amy Ma,University of Chicago,24
Amy Rose,Wellesley,18
Amy Sun,Bates,30
Amy Zhang,Harvard,14
An-Lanh Le,Princeton,6
Ana Carolina Marques Perez,George Washington,16
