Debater,Partner School,Rounds
Derin Kalay,Rutgers,42
Derwen Fay,George Washington,8
Dessie Yang,Princeton,8
Devarsh Borah,Dartmouth,10
Devesh Kodnani,University of Chicago,80
Devin Bae,American,24
Devin Lai,Stanford,8
Devyani Goel,Columbia,25
Dhafer Muhammad,Stanford,11
Dheeraj Keshav,Maryland,91
Dheeraj Keshav,George Washington,8
Dhruv Goyal,Columbia,2
Dhruv Javangula,Yale,2
Dhruv Prakash,George Washington,10
Dhruv Prakash,Rutgers,6
Dhruva Someshwar,Maryland,18
Dhurv Prakash,George Washington,8
Diego Castillo,Brown,72
Diego Castillo,Bradley,4
Diego Castillo,George Washington,4
Dilay Kolinoglu,Williams,2
Dilay Namli,Williams,2
Dillion Ma,George Washington,6
Dillon Ma,George Washington,125
Dillon Ma,Georgetown,16
Dillon Ma,Columbia,8
Dillon Ma,University of Chicago,8
Dillon Ma,William and Mary,5
Dillon Ma,University of Virginia,2
Dimitri Nilov,Maryland,20
Dimitri Nilov,Georgetown,6
Disha Kumar,Northeastern,10
Diya Aneesh,Boston University,8
Dodo Li,Swarthmore,33
Dom Digioia,University of North Carolina,6
Dom Passafiume,Temple,38
Dominic Deramo,Georgetown,75
Dominic Deramo,Johns Hopkins,22
Dominic Deramo,American,10
Dominic Deramo,George Washington,8
Dominic Deramo,Maryland,6
Dominic Deramo,William and Mary,6
Donna Zhong,Swarthmore,35
Donnell Weldon,Northeastern,16
Donnell Weldon,Tufts,6
Donnell Weldon,Boston University,4
Donnell Weldon,University of Chicago,4
Donnell Weldon,Princeton,2
Donovan Jones,University of Virginia,6
Doris Hado,University of Chicago,4
Drew Harrington,University of Chicago,30
Drew Harrington,Penn,8
Drew Harrington,Amherst,4
Drew Michaeli,Washington University in St. Louis,8
Dylan Gyauch-Lewis,Bates,22
Dylan Gyauch-Lewis,Brown,4
Dylan Gyauch-Lewis,Tufts,4
Dylan Sheehan,Bates,16
Dylan Tipton,Columbia,20
Eddie Sidorenko,Bates,8
Eddie Sidorenko,University of Chicago,6
Edgar Cheng,Columbia,4
Edgar Euceda,George Washington,12
Edgar Euceda,Georgetown,8
Eduardo Fernandez,Princeton,8
Edward Grinnan,Lehigh,10
Edward Khatchatrian,Boston University,2
Eeman Ahmad,University of Virginia,14
Eesha Gupta,Dartmouth,10
Efrain Ortiz,Northeastern,26
Eftychia Christodoulou,Brown,8
Eira Prakash,Columbia,14
Ej Hermacinski,Princeton,3
Ej Kang,Swarthmore,9
Elaine Gao,Princeton,17
Elaine He,Brown,34
Eleanor Cohen,Fordham,4
Eleanor Harty,Tufts,20
Elena Geroulis,William and Mary,8
Elena Leeds,Northeastern,114
Elena Leeds,Brown,8
Elena Leeds,Tufts,8
Elena Leeds,Wellesley,2
Elena Lill,University of Chicago,8
Eleni Economakos,Pace,8
Eli Boone,University of Virginia,7
Eli Brinkerhoff,Washington University in St. Louis,10
Eli Nelson,Brown,24
Eli Nelson,George Washington,10
Eli Shirk,Pace,24
Eli Zerof,University of Chicago,12
Elijah Adu,Williams,68
Elijah Adu,Wellesley,4
Elijah Nelson,Brown,62
Elijah Nelson,George Washington,29
Elijah Nelson,Georgetown,16
Elijah Nepomuceno,Swarthmore,2
Elisa Nisly,Villanova,8
Elisa Nisly,Amherst,6
Elisa Nisly,Smith,6
Elise Howe,William and Mary,32
Elise Howe,Georgetown,4
Elise Ko-Davis,Rutgers,36
Eliza Morgan,Swarthmore,4
Elizabeth Buerkle,Northeastern,30
Elizabeth Buerkle,Tufts,2
Elizabeth Esterbrook,Fordham,8
Elizabeth Greer,George Washington,26
Ella Feiner,Princeton,8
Ella Gagne,Northeastern,2
Ellie Rudnick,Dartmouth,2
Ellie Singer,Yale,62
Ellie Singer,University of Chicago,6
Elliot Akst,Bowdoin College,8
Elliot Rice,Carnegie Mellon,4
Elliot Tick,University of Massachusetts,10
Elliot Tick,Northeastern,7
Elliott Mokski,Harvard,9
Ellis Adamson,Wesleyan,24
Ellis Adamson,Tufts,8
Ellis London,Northeastern,10
Ellis London,Brandeis,4
Elly Kang,MIT,12
Elly Kang,Georgetown,8
Elly Kang,Tufts,4
Elva Chen,Hamilton,58
Ely Altman,Yale,30
Emely Ortiz Ramirez,Tufts,14
Emilin Mathew,Stanford,4
Emilio Stuart-Alban,Columbia,24
Emily Caissie,Brandeis,18
Emily Chen,Yale,20
Emily Chow,Rutgers,48
Emily Chow,Johns Hopkins,8
Emily Chow,Swarthmore,8
Emily Chow,Williams,6
Emily Gedlinski,Smith,6
Emily Grant,University of Chicago,57
Emily Grant,Harvard,8
Emily Han,Stanford,8
Emily Huang,George Washington,2
Emily Paulin,Princeton,23
Emily Paulin,NYU,14
Emily Paulin,Drexel,6
Emily Paulin,Northeastern,2
Emily Plasse,University of Delaware,10
Emily Plasse,University of North Carolina,6
Emily Ringel,Columbia,19
Emily Shield,Bates,44
Emily Simon,Northeastern,42
Emily Simon,Brown,6
Emily Steirman,Johns Hopkins,8
Emily Tacey,Penn,9
Emily Tufts,Tufts,4
Emily Xu,Johns Hopkins,20
Emma Beelner,William and Mary,10
Emma Blemaster,Stanford,8
Emma Chang,Penn,8
Emma Chi,Wellesley,56
Emma Chi,Boston University,10
Emma Chi,Bates,4
Emma Johnston,Bates,12
Emma Listgarten,Columbia,58
Emma Listgarten,Bates,34
Emma Listgarten,George Washington,16
Emma Listgarten,University of Chicago,12
Emma Listgarten,Amherst,8
Emma Listgarten,Tufts,8
Emma Listgarten,Brown,6
Emma Pollock,William and Mary,25
Emmanuel Caracheo,Harvard,26
Emmanuel Murphy,American,32
Emmanuel Murphy,Johns Hopkins,26
Emmanuel Murphy,Tufts,16
Emmanuel Murphy,William and Mary,16
Emmanuel Murphy,Northeastern,14
Emmanuel Murphy,Penn,12
Emmanuel Murphy,La Verne,10
Emmanuel Murphy,University of Chicago,10
Emmanuel Murphy,George Washington,8
Emmanuel Murphy,Brandeis,6
Enmanuel Castillo,Columbia,10
Enrique Abud Evereteze,Boston University,8
Enshia Li,Stanford,2
Eojin Park,Princeton,4
Eric Li,Columbia,27
Eric Trinh,Swarthmore,20
Eric Trinh,Haverford,6
Eric Tu,Yale,60
Eric Wang,Northwestern,6
Erica Adler,Tufts,22
Erica Morelli,University of Massachusetts,12
Erica Morellli,University of Massachusetts,8
Erick Tian,University of Virginia,4
Erick Tian,American,2
Erin Cho,Wellesley,4
Ernest Zhang,Maryland,8
Eshaal Ubaid,Penn,9
Esther Kardos,Columbia,18
Esther Kardos,Penn,4
Ethan Borress,University of Massachusetts,12
Ethan Fitzgerald,George Washington,10
Ethan Henshaw,Georgetown,14
Ethan Jiang,University of Chicago,46
Ethan Liu,Maryland,18
Ethan Liu,Johns Hopkins,6
Ethan Mort,Columbia,6
Ethan Mort,George Washington,3
Ethan Reiter,Northeastern,36
Ethan Reiter,Tufts,16
Ethan Reiter,Smith,14
Ethan Reiter,Brandeis,2
Ethan Reiter,Wellesley,2
Ethan Ross,University of Chicago,44
Ethan Ross,Harvard,4
Ethan Roytman,Penn,8
Ethan Shurberg,Brandeis,42
Ethan Shurberg,Boston University,4
Ethan Tabachneck,Stony Brook University,2
Ethan Wilkes,University of Virginia,22
Etta Humes,Carleton,2
Eugenie Park,Wellesley,46
Eugenie Park,Johns Hopkins,20
Eugenie Park,Northeastern,14
Eugenie Park,University of Massachusetts,8
Eugenie Park,American,6
Eugenie Park,Brown,6
Eugenie Park,William and Mary,4
Eugenie Park,Williams,4
Eugenie Zhu,Tufts,22
Eugenie Zhu,Wellesley,16
Eugenie Zhu,Brandeis,4
Eunjae Kang,Swarthmore,8
Eunsol Do,Hamilton,50
Eva Bruce,Smith,24
Eva Bruce,Northeastern,14
Eva Bruce,Wellesley,10
Eva Bruce,Yale,4
Eva Bruce,Brown,2
Eva Quinones,Yale,12
Eva Rivera,Northeastern,8
Eva Rivera,Boston University,6
Eva Wang,Harvard,8
Eva-Marie Quinones,Yale,16
Evan Becker,Harvard,6
Evan Becker,Washington University in St. Louis,6
Evan Burkeen,Yale,42
Evan Epstein,Harvard,14
Evan Li,Brown,4
Evan Rosenbaum,George Washington,24
Evan Rosenbaum,Maryland,2
Evan Steinberg,Wesleyan,4
Evan Wilken,Northeastern,28
Evan Yi,Stanford,8
Eve Seabourn,NYU,8
Evy Gedlinske,Smith,20
Ezzah Tariq,Boston University,14
Fabijan Schauer,George Washington,6
Fahim Aseer,Harvard,6
Fahmida Afreen,Harvard,4
Faith Duncan,Yale,34
Farah Battaineh,Northeastern,8
Farah Kabir,NYU,12
Farah Kabir,Northeastern,6
Fatima Masood,Maryland,46
Fayozbek Ochilov,Bentley University,6
Fefe Montalvo,Yale,22
Feifei Mei,University of Chicago,73
Feifei Mei,Yale,10
Felicity Wong,Harvard,8
Felipe Mendonca,Dartmouth,2
Felix Leonhardt,Yale,36
Felix Myers,Yale,4
Felix Premrou,Penn,6
Feyi Adeyemi,Princeton,18
Finlay Adamson,Hamilton,8
Fiona Bray,Princeton,14
Fiona Chou,Johns Hopkins,28
Fiona Chou,Tufts,4
Fiona Fu,Yale,22
Fiona He,University of Virginia,10
Fiona He,Rutgers,6
Flavia Dafku,CUNY,18
Fletcher Calcagno,George Washington,14
Fletcher Calcagno,Georgetown,6
Fletcher Calcagno,University of Virginia,4
Flo Arnado,Boston University,14
Fowzia Islam,CUNY,2
Fox Chyatte,Northeastern,10
Fox Chyatte,Tufts,10
Francesca Primoli,Wellesley,10
Frank Lin,Yale,16
Frank Percaccio,Lehigh,18
Frank Shau,Stony Brook University,10
Franklyn Yang,Brown,28
Fruzsina Roka,Harvard,18
Fuqin Lian,Williams,8
Gabbi Shilcusky,Tufts,30
Gabbi Shilcusky,Northeastern,10
Gabbi Shilcusky,William and Mary,8
Gabbi Shilcusky,Williams,8
Gabbi Shilcusky,Brown,6
Gabbi Shilcusky,Johns Hopkins,4
Gabby Bayness,University of Chicago,14
Gabby Bayness,Harvard,4
Gabby Miller,Amherst,10
Gabby Pavlakis,Temple,2
Gabby Trevino,Swarthmore,4
Gabe Gucanac,Boston University,8
Gabe Ritter,Brown,59
Gabe Seidman,Carleton,2
Gabi Cunningham,Georgetown,2
Gabriel Au,Johns Hopkins,10
Gabriel Au,American,2
Gabriel Burr,Boston University,10
Gabriel Clisham,University of Chicago,4
Gabriel Lomonaco,Fordham,4
Gabriel Ritter,Brown,20
Gabriel Sims,University of Virginia,6
Gabriela Ogando,Columbia,2
Gabriella Athanasiou,Northeastern,10
Gabriella Miller,Amherst,29
Gabrielle Kraft,Smith,28
Gaby Goldberg,William and Mary,8
Gaeun Kim,Stanford,5
Ganesh Nair,Stanford,10
Garrett Brand,Brown,8
Gaurav Gawankar,George Washington,6
Gaven Green,Swarthmore,6
Gavin An,University of Chicago,12
Geneva Wearren,University of Virginia,24
Genevieve Cox,Princeton,4
Georgie Javier,Fordham,10
Gerson Personnat,Yale,4
Gia Iyer,George Washington,23
Gianluigi Zaninelli,Swarthmore,12
Gianluigi Zaninelli,Penn,6
Gilbert Yang,Columbia,2
Gillian Zipursky,Swarthmore,22
Ginger Schiffmayer,Grove City College,8
Giselle Paulson,Harvard,103
Giuseppe Di Massa,Yale,32
Giuseppe Dimassa,Yale,14
Glen Marques,Johns Hopkins,4
Golan Altman-Shafer,Brandeis,6
Gordon Mcneill,Georgetown,62
Gordon Mcneill,George Washington,8
Gordon Mcneill,University of Virginia,7
Gordon Mcneill,William and Mary,5
Gordon Mcneill,Drexel,4
Grace Cowell,Northeastern,10
Grace Flynn,Columbia,27
Grace Lee,Wesleyan,16
Grace Luckett,Georgetown,19
Grace Luckett,Northeastern,8
Grace Lyles,University of Virginia,134
Grace Lyles,Georgetown,16
Grace Lyles,George Washington,11
Grace Lyles,University of Chicago,10
Grace Lyles,Temple,8
Grace Lyles,Maryland,6
Grace Manson,American,12
Grace Manson,George Washington,6
Grace Protasiewicz,Columbia,6
Grace Wen,Wellesley,16
Grace Ye,Georgetown,2
Grady Martin,University of Virginia,6
Graham Hansen,University of Chicago,14
Grant Goco,Washington University in St. Louis,5
Greg Gentile,Bates,6
Greg Schwartz,Yale,10
Greg Weaving,Princeton,24
Greta Batchelor,Dartmouth,4
Griffin Badalamente,University of Chicago,30
Griffin Badalamente,University of Virginia,4
Griffin Hoeschele,University of Massachusetts,24
Grishma Baruah,William and Mary,6
Gui Bejar,MIT,4
Hailey Sherrell,University of Virginia,12
Hailey Stone,Brown,38
Haley Son,Penn,2
Hamilton Henderson,Yale,24
Hanna Bae,Wellesley,30
Hanna Bae,Boston University,10
Hanna Bae,Northeastern,10
Hanna Bae,Brandeis,8
Hannah Abubakari,Northeastern,10
Hannah Allen,University of Virginia,22
Hannah Allen,American,2
Hannah Ditmars,University of Massachusetts,4
Hannah Donis,William and Mary,6
Hannah Healy,Columbia,6
Hannah Owens Pierre,Yale,26
Hannah Owens-Pierre,Yale,4
Hannah Platter,Smith,24
Hannah Platter,Northeastern,10
Hannah Platter,Columbia,8
Hannah Platter,Binghamton University,6
Hannah Platter,Brown,5
Hannah Platter,Rutgers,2
Hannah Platter,Wellesley,2
Haotian Pan,Harvard,40
Harin Ok,William and Mary,21
Harin Ok,Georgetown,6
Harrison Carr,Fordham,4
Harry Xie,Princeton,6
Harry Xie,Northwestern,4
Harshit Bhasin,Johns Hopkins,38
Harshit Bhasin,American,6
Harshit Bhasin,Maryland,6
Hart Rapaport,Columbia,14
Hart Rapaport,Rutgers,4
Hart Rapaport,Wellesley,4
Haseeb Waseem,Wellesley,6
Haseeb Waseem,Swarthmore,2
Hasini Gunda,George Washington,48
Hasit Nanda,Penn,52
Hasit Nanda,Harvard,21
Hasit Nanda,University of Chicago,4
Hasit Nanda,Williams,4
Hasit Nanda,Tufts,2
Hayden Shuker,Temple,28
Hayden Shuker,University of Chicago,6
Hayden Shuker,University of Virginia,4
Hazel Martello,University of Chicago,12
Hazel Martello,Northeastern,2
Helen Chau,University of Chicago,6
Helen Wu,University of Chicago,84
Helen Wu,Dartmouth,2
Hemanth Bharatha Chakravarthy,Harvard,6
Henry Armah,University of Pittsburgh,8
Henry Armah,University of Chicago,4
Henry Armah,Georgetown,2
Henry Bansbach,Columbia,20
Henry Chuang,Boston University,4
Henry Gerstein,George Washington,10
Henry Huschke,University of Chicago,6
Henry Levinson,Yale,4
Henry Pahlow,Harvard,4
Hillary Lee,Columbia,8
Himanshu Padnani,Johns Hopkins,10
Himanshu Padnani,Wellesley,8
Himanshu Padnani,Boston University,4
Himanshu Padnani,University of Massachusetts,2
Hiroko Kawase,Yale,16
Hisham Shami,Maryland,4
Hitishaa Goyal,Harvard,30
Hitishaa Goyal,Yale,4
Hiya Ray,Yale,46
Holden Buckley,Fordham,8
Holly Li,Georgetown,32
Holly Li,American,4
Hugo Wang,Hamilton,4
Humaid Saleem,Harvard,10
Humphrey Luo,University of Virginia,16
Humphrey Luo,American,4
Hunter Haynes,Harvard,4
Ian Crowell,Boston University,6
Ian Crowley,Georgetown,14
Ian Crowley,William and Mary,4
Ian Jones,Pace,8
Ian Mcvann,George Washington,60
Ian Mcvann,William and Mary,14
Ian Mcvann,Harvard,4
Ian Mcvann-Henkelmann,George Washington,47
Ian Paz,Swarthmore,10
Ian Scholes,Washington University in St. Louis,10
Ian Taylor,University of Delaware,14
Ibithal Gassem,Lehigh,8
Ike Smalley,Carleton,14
Ilse Ramon Lopez,Georgetown,6
Imaan Ali,Washington University in St. Louis,16
Iman Najib,Williams,6
Iman Onbargi,Harvard,32
Iman Onbargi,NYU,6
Imran Gilani,Georgetown,6
Ina Rahalkar,University of Massachusetts,8
Inbar Sapir,Boston University,32
Inbar Sapir,University of Massachusetts,4
Inbar Sapir,Northeastern,2
India Myers,University of Delaware,8
Inko Bovenzi,Harvard,16
Inko Bovenzi,Brown,2
Inseo Choi,Yale,8
Ioannis Kyriakou,University of Delaware,10
Irina Znamirowski,Brandeis,30
Irina Znamirowski,Tufts,14
Iris Hwang,University of Virginia,6
Iris Lee,Brown,10
Isaac Appelbaum,George Washington,6
Isaac Halpern,Harvard,8
Isaac Kriel,University of Virginia,19
Isaac Kriel,Temple,4
Isabel Irvine,NYU,6
Isabella Avina,Georgetown,10
Isabella Jenkins,Brandeis,50
Isabella Jenkins,NYU,6
Isabella Jenkins,Brown,4
Isabella Sorial,George Washington,16
Isabella Sorial,La Verne,12
Isabella Sorial,Wellesley,4
Isabella Tomovski,Wellesley,8
Isabella Tomovski,Brown,6
Isabella Tomovski,Tufts,6
Isabella Tomovski,Northeastern,4
Isabelle Agarwal,Harvard,6
Isabelle Qi,Wellesley,18
Isha Chilukuri,Penn,10
Ishaan Goel,University of Chicago,18
Ishan Bhatt,Harvard,22
Ishan Maunder,University of Chicago,16
Ishan Reese,Bates,26
Issa Allison,Dartmouth,18
Ivan Toh,Stanford,6
Ivy Hu,Rutgers,9
Ivy Mao,Wellesley,2
Izayah Thomas,Columbia,14
Izayah Thomas,Brandeis,4
Izzy Coleman,Yale,2
J.C. Rhee,Fordham,10
Jack Beery,Maryland,125
Jack Chen,Brandeis,6
Jack Chen,Columbia,4
Jack Chen,Stanford,4
Jack Chen,Tufts,4
Jack Feinstein,Temple,34
Jack Feinstein,Haverford,24
Jack Kelly,Yale,44
Jack Maniscalco,George Washington,10
Jack Moreland,Stanford,6
Jack Rubin,Harvard,4
Jack Vail,Brown,40
Jack Wilan,Tufts,8
Jackie Mier Y Concha,Boston College,2
Jackson Cutrone,Fordham,10
Jackson Neme,Georgetown,94
Jackson Schreiber,University of Chicago,66
Jackson Schreiber,William and Mary,10
Jackson Segal,Brown,44
Jackson Segal,Harvard,8
Jackson Segal,Wellesley,6
Jackson Utley,Rutgers,17
Jacob Atkins,American,8
Jacob Atkins,Columbia,8
Jacob Atkins,George Washington,6
Jacob Bezner,Swarthmore,16
Jacob Bezner,Binghamton University,6
Jacob Boehm,Amherst,36
Jacob Boehm,American,6
Jacob Boehm,Northeastern,6
Jacob Boehm,Yale,6
Jacob Boehm,Brandeis,4
Jacob Cao,Penn,6
Jacob Fenster,Washington University in St. Louis,8
Jacob Gelman,Brown,10
Jacob Kolhof-Sadler,Columbia,10
Jacob Silcoff,Princeton,4
Jacob Wasinger,William and Mary,4
Jaden Stewart,Princeton,4
Jaden Wang,University of Virginia,10
Jaedon Abbott,NYU,16
Jaedon Abbott,Cornell,4
Jaewan Park,University of Chicago,8
Jahangir Suvanbekov,Bentley University,10
Jaice Williamson,American,20
Jaiden Hasan,Tufts,16
Jaiden Hasan,Boston University,4
Jaiden Hasan,Northeastern,2
Jaimy Kim,Yale,26
Jaimy Kim,University of Chicago,6
Jake Hirshberg,University of Chicago,86
Jake Hirshberg,Georgetown,26
Jake Hirshberg,Columbia,8
Jake Hirshberg,Boston University,4
Jake Love,University of Pittsburgh,7
Jake Lowe,George Washington,12
Jake Solomon,Boston University,10
Jake Solomon,Amherst,8
Jake Solomon,Brandeis,8
Jake Solomon,Northeastern,8
Jake Zeng,Georgetown,48
Jake Zeng,George Washington,18
Jake Zeng,University of Chicago,10
James Afford,Brown,86
James Afford,Brandeis,20
James Afford,Bates,11
James Afford,Columbia,10
James Afford,Northeastern,8
James Afford,Amherst,6
James Cunningham,Boston College,16
James Currie,Temple,35
James Currie,Haverford,6
James Eigerman,CUNY,10
James Foleno,Bates,32
James Hu,Johns Hopkins,18
James Hu,Columbia,4
James Lewis,Swarthmore,8
James Masson,Yale,15
James Miller,Harvard,12
James Ruzich,University of Chicago,6
Jamie Clark,Wellesley,13
Jamie Clark,George Washington,4
Jamie Kim,Columbia,10
Jamiyah Bonds,Maryland,8
Jane Haubrich,William and Mary,6
Jane Mentzinger,Princeton,10
Janice Lee,Boston University,114
Jano Cadiz,Northwestern,4
Janul De Silva,Swarthmore,2
Janya Kaur,Brown,10
Jared Lenn,University of Chicago,30
Jared Sloan,Haverford,2
Jared Stone,American,12
Jarrett Lobb,Northeastern,86
Jasmine Lakhdar,Boston College,2
Jasmine Zhang,Princeton,12
Jason Chae,Penn,8
Jason Fu,Brown,2
Jason Lee,Yale,18
Jason Lee,Stanford,8
Jason Lopez,Swarthmore,15
Jason Shan,Brown,54
Jason Shan,Harvard,2
Jason Tu,Penn,78
Jason Tu,Johns Hopkins,14
Jason Tu,Yale,6
Jason Zhu,Dartmouth,14
Javaria Abbasi,University of Virginia,8
Jay Dorfeuil,Pace,14
Jay Garg,Harvard,2
Jay Gibbs,University of Chicago,24
Jay Gibbs,Penn,10
Jay Gibbs,Vassar,6
Jay Kang,Princeton,6
Jay Leeds,Swarthmore,8
Jayden Clarke,Columbia,8
Jazmin Petty,Northeastern,16
Jeffrey Gao,Brown,6
Jeffrey Xiong,Columbia,4
Jeffrey Yin,Maryland,16
Jehan Chanmugam,Tufts,58
Jehan Chanmugam,Boston University,6
Jehan Chanmugam,NYU,6
Jehan Chanmugam,Williams,2
Jen Kim,NYU,4
Jenna Hong,Harvard,60
Jenna Kaplan,Columbia,2
Jenna Lee,George Washington,32
Jenna Sutherland,Smith,4
Jenna Sutherland,Northeastern,2
Jennifer He,Swarthmore,24
Jenny Li,Rutgers,2
Jenny Pham,Georgetown,14
Jenny Pham,American,4
Jenny Wang,William and Mary,10
Jenny Wu,Harvard,8
Jeremy Lee,Harvard,6
Jeremy Ng,Northeastern,26
Jeremy Tsung,Bowdoin College,8
Jeremy You,Amherst,2
Jerry Lee,Georgetown,12
Jerry Lee,University of Virginia,8
Jesenia Parthasarathy,University of Chicago,65
Jesenia Parthasarathy,Wellesley,6
Jessica Tuchin,Brown,66
Jessica Tuchin,Boston University,10
Jessica Wang,MIT,4
Jhankaar Purohit,University of Chicago,8
Jiahuai Kang,Amherst,2
Jiayuan Zhen,Harvard,8
Jill Ji,Johns Hopkins,16
Jillian Sutton,Wellesley,22
Jimmy Chen,Brown,10
Jing Ge,Harvard,12
Jinjou Wang,Amherst,8
Jinjou Wang,Harvard,8
Jiya Mahapatra,Boston University,14
Jo Huddle,Temple,20
Joann Yu,Dartmouth,45
Joann Yu,William and Mary,40
Joann Yu,George Washington,16
Joanna Ding,Yale,20
Joanna Li,Georgetown,4
Joanne Park,Columbia,2
Joe Brennan,Johns Hopkins,2
Joe Clancy,Georgetown,8
Joe Clancy,Johns Hopkins,2
Joe Cox,Northeastern,41
Joe Cox,Penn,16
Joe Cox,Johns Hopkins,9
Joe Cox,Amherst,6
Joe Cox,William and Mary,6
Joe Cox,Rutgers,5
Joe Cox,Tufts,4
Joe Cox,University of Chicago,2
Joel Shankar,Dartmouth,18
Joey Abragao,Rutgers,52
Joey Rubas,University of Virginia,122
Joey Rubas,UT Austin,22
Joey Rubas,Amherst,8
Joey Rubas,University of Chicago,8
Joey Rubas,Georgetown,7
Joey Rubas,George Washington,6
Joey Rubas,American,4
Joey Rubas,Tufts,4
John Becker,University of Delaware,28
John Becker,Temple,6
John Fernandez Suarez,Boston College,8
John Goulandris,Tufts,2
John Lowe,Brandeis,44
John Lowe,Tufts,4
John Powers,William and Mary,8
John Wu,Penn,16
John Youssef,Tufts,36
John Youssef,Northeastern,14
John Youssef,Brown,10
John Youssef,University of Chicago,10
John Youssef,Williams,10
John Youssef,William and Mary,6
John Youssef,Bates,4
John Yule,Wellesley,10
John Yule,Boston University,8
Jolene Ren,Georgetown,6
Jolene Ren,Temple,6
Jonah Gatoff,Boston University,32
Jonah Goldman,American,24
Jonah Goldman,Georgetown,24
Jonah Goldman,William and Mary,22
Jonah Goldman,Amherst,6
Jonah Goldman,Harvard,6
Jonah Goldman,Johns Hopkins,4
Jonah Goldman,Rutgers,2
Jonah Layton,William and Mary,4
Jonah Paterson,Swarthmore,22
Jonah Paterson,Haverford,8
Jonah Paterson,Rutgers,2
Jonah Sah,Williams,12
Jonas Poggi,George Washington,54
Jonas Poggi,William and Mary,10
Jonas Poggi,Williams,2
Jonathan Barkat,Columbia,8
Jonathan Carroll,Georgetown,4
Jonathan Carroll,Tufts,4
Jonathan Chen,University of Chicago,64
Jonathan Chen,Columbia,10
Jonathan Chen,Johns Hopkins,8
Jonathan Chen,Penn,8
Jonathan Chen,Rutgers,8
Jonathan Chen,William and Mary,5
Jonathan Chen,Tufts,4
Jonathan Lim,Yale,4
Jonathan Perry,Columbia,10
Jordan Day,University of Massachusetts,36
Jordan Farenhem,Yale,4
Jorge Ramirez,Georgetown,21
Jose Luis Ortega Castro,Harvard,10
Joseph Connell,St. Mary's,10
Joseph Sherma,Boston University,10
Josephine Dodge,University of Chicago,4
Josephine Kim,Princeton,2
Josh Kohm,Harvard,30
Josh Kretchmer,American,8
Josh Leffler,Yale,10
Josh Lyons,Boston University,108
Josh Lyons,Brandeis,6
Josh Neudorf,University of Chicago,34
Josh Uy,Northeastern,8
Josh White,Dartmouth,5
Josh Zakharov,University of Chicago,12
Joshua Hill,Northeastern,2
Joshua Karouw,Penn,10
Joshua King,Boston College,8
Joshua Melamed,University of Chicago,4
Joshua Park,Harvard,6
Joshua Sampson,Maryland,6
Joshua Sionov,CUNY,6
Juan Diego Cisneros,Lehigh,6
Jubilee Kim,Hamilton,40
Judah Levy,Maryland,28
Judah Levy,Johns Hopkins,6
Judah Millen,Yale,12
Judah Purwanto,University of Chicago,2
Judicael Tchoudja,Maryland,46
Judicael Tchoudja,University of Virginia,6
Jules Noyd,American,6
Julia Advento,Wesleyan,6
Julia Barnett,Swarthmore,14
Julia Bloch,Northeastern,2
Julia Botkin,Swarthmore,4
Julia Cunningham,George Washington,8
Julia Jean Louis,Binghamton University,2
Julia Malnak,University of Pittsburgh,12
Julia Malnak,University of Virginia,4
Julia Oles,Northeastern,6
Julia Schroers,Wesleyan,8
Julia Shephard,Harvard,39
Julia Wang,Rutgers,62
Julia Wang,Columbia,9
Julia Wayland,Northeastern,4
Julia Wu,Yale,17
Julian Galaz,NYU,6
Julian Melendi,Yale,2
Julianna Wottawa,Fordham,10
Julien Benchek,University of Chicago,69
Justin Black,Harvard,2
Justin Jang,NYU,8
Justin Kahn,Tufts,2
Justin Kim,Yale,85
Justin Kim,Harvard,6
Justin Koizumi,Brandeis,14
Justin Koizumi,Boston University,6
Justin Lulu,Brandeis,20
Justin Lulu,Wellesley,4
Justin Qi,Harvard,12
Justin Qi,Brown,8
Justin Qi,Penn,6
Justin Qi,Wellesley,6
Justin Suh,Williams,6
Justin Suh,Yale,4
Justin Wu,Johns Hopkins,34
Justin Wu,Penn,32
Justin Wu,Rutgers,32
Justin Wu,Northeastern,14
Justin Wu,Brown,10
Justin Wu,William and Mary,8
Justin Wu,Yale,6
Justin Zhang,Johns Hopkins,7
Justin Zhang,Northeastern,4
Justin Ziering,Fordham,10
Kacey Young,Swarthmore,10
Kaela Weber,University of Massachusetts,18
Kai Teigen,Stanford,10
Kai Williams,Swarthmore,4
Kaila Frazer,Smith,16
Kait Podlich,Hamilton,26
Kaitlin Wing,George Washington,38
Kaitlin Wing,Temple,4
Kaley Alexandre-Burke,Yale,35
Kamil Mahmood,Amherst,12
Kanchan Pothireddy,Boston University,8
Karan Kaushal,Boston University,4
Karl Mcghie,Brandeis,32
Karl Mcghie,Boston University,10
Karthik Palakodeti,Penn,4
Karthik Tadepalli,Penn,14
Kasfia Tasnim,Bates,8
Kashvi Gera,Wesleyan,8
Kate Alexander,Northeastern,10
Kate Jones,Georgetown,8
Kate Keller,Maryland,20
Kate Vandehey,Brandeis,62
Kate Zhang,Brown,14
Katelyn Keller,Maryland,2
Katherine Alford,Fordham,18
Katherine Ottenbreit,University of Chicago,36
Katherine St. George,Columbia,4
Katheryne Dwyer,University of Chicago,4
Kathleen Mcintyre,William and Mary,27
Katie Baughman,Fordham,14
Katie Benson,Bentley University,30
Katie Cheng,Stanford,8
Katrina Hotaling,Tufts,93
Katrina Hotaling,Yale,8
Katrina Hotaling,University of Chicago,6
