Judge School,0
American,29.779589371980677
Amherst,28.75915750915751
Bates,28.95048309178744
Bentley University,28.21153846153846
Binghamton University,28.44117647058824
Boston College,28.92857142857143
Boston University,29.368806306306304
Brandeis,29.494957983193277
Brown,28.977037037037036
CUNY,28.838607594936708
Carnegie Mellon,28.959876543209873
Columbia,28.40260545905707
Dartmouth,28.368279569892472
Drexel,29.663793103448278
Fordham,29.04066265060241
George Washington,29.459935897435898
Georgetown,29.997297297297298
Hamilton,28.9
Harvard,28.75653846153846
Haverford,28.636904761904763
Johns Hopkins,28.65801056338028
Lehigh,29.416666666666664
MIT,26.75
Maryland,29.4515923566879
NYU,29.04285714285714
Northeastern,29.510096930533116
Northwestern,25.625
Pace,27.5625
Penn,28.723130841121495
Princeton,28.665912031047867
Rutgers,28.874347826086957
Smith,28.28282828282828
Stanford,29.142857142857142
Stony Brook University,26.75
Swarthmore,28.90833333333333
TESU,30.25
Temple,28.798076923076923
The College of New Jersey,28.1375
Tufts,29.27988047808765
UCLA,26.625
UConn,29.3125
University of Chicago,29.507866273353
University of Delaware,29.217592592592595
University of Massachusetts,28.943037974683545
University of North Carolina,29.5
University of Pittsburgh,28.35340314136126
University of Virginia,29.900752314814813
Villanova,30.557692307692307
Washington University in St. Louis,26.85
Wellesley,28.80006811989101
Wesleyan,28.873563218390807
William and Mary,30.030913978494624
Williams,29.349726775956285
Yale,28.655777945619334
