id,name,date,season,teams,novice_debaters,special,online
444,NYU,04/22/2016,2015-16,95.0,61.0,Nationals,
445,The College of New Jersey,04/15/2016,2015-16,52.0,49.0,,
446,Wellesley,04/15/2016,2015-16,48.0,46.0,,
447,William and Mary,04/08/2016,2015-16,32.0,24.0,,
448,Dartmouth,04/08/2016,2015-16,40.0,50.0,,
449,Princeton,04/01/2016,2015-16,125.0,117.0,,
450,Amherst,03/25/2016,2015-16,39.0,42.0,,
451,University of Virginia,03/25/2016,2015-16,17.0,18.0,,
452,Penn,03/25/2016,2015-16,53.0,49.0,,
453,Swarthmore,03/18/2016,2015-16,0.0,0.0,,
454,Northeastern,03/18/2016,2015-16,49.0,52.0,,
455,Georgetown,03/18/2016,2015-16,40.0,41.0,,
456,Temple,03/11/2016,2015-16,18.0,19.0,,
457,Bates,03/11/2016,2015-16,42.0,50.0,,
458,Stanford,03/05/2016,2015-16,68.0,73.0,,
459,West Point,03/04/2016,2015-16,35.0,30.0,,
460,UMBC,03/04/2016,2015-16,16.0,16.0,,
461,American,02/26/2016,2015-16,51.0,59.0,,
462,Boston University,02/26/2016,2015-16,80.0,82.0,,
463,Franklin and Marshall,02/19/2016,2015-16,31.0,37.0,ProAms,
464,Yale,02/19/2016,2015-16,118.0,136.0,ProAms,
465,Providence College,02/12/2016,2015-16,48.0,46.0,,
466,George Washington,02/12/2016,2015-16,51.0,51.0,,
467,Rutgers,02/05/2016,2015-16,99.0,98.0,,
468,Washington University in St. Louis,01/29/2016,2015-16,19.0,20.0,,
469,University of North Carolina,01/29/2016,2015-16,32.0,30.0,,
470,University of Albany,01/29/2016,2015-16,56.0,50.0,,
471,Carnegie Mellon,01/15/2016,2015-16,28.0,28.0,,
472,Middlebury,01/15/2016,2015-16,37.0,39.0,,
473,University of Chicago,01/08/2016,2015-16,22.0,27.0,,
474,Williams,12/04/2015,2015-16,13.0,19.0,,
475,Brandeis,12/04/2015,2015-16,96.0,63.0,,
476,Fordham,11/20/2015,2015-16,109.0,129.0,,
477,Wesleyan,11/13/2015,2015-16,36.0,36.0,,
478,Maryland,11/13/2015,2015-16,66.0,65.0,,
479,Northeastern,11/06/2015,2015-16,96.0,96.0,ProAms,
480,American,11/06/2015,2015-16,107.0,121.0,ProAms,
481,University of Pittsburgh,10/30/2015,2015-16,25.0,24.0,,
482,Brandeis,10/30/2015,2015-16,93.0,91.0,,
483,George Washington,10/23/2015,2015-16,76.0,94.0,,
484,Tufts,10/23/2015,2015-16,66.0,69.0,,
485,Penn,10/16/2015,2015-16,77.0,82.0,,
486,Brown,10/16/2015,2015-16,80.0,103.0,,
487,Harvard,10/09/2015,2015-16,152.0,166.0,,
488,Yale,10/02/2015,2015-16,0.0,0.0,,
489,Vassar,10/02/2015,2015-16,30.0,21.0,,
490,Swarthmore,09/25/2015,2015-16,0.0,156.0,Novice,
491,Boston University,09/25/2015,2015-16,0.0,0.0,Novice,
492,Columbia,09/18/2015,2015-16,95.0,69.0,,
493,William and Mary,09/11/2015,2015-16,35.0,18.0,,
494,Smith,09/11/2015,2015-16,35.0,17.0,,
495,Johns Hopkins,09/04/2015,2015-16,60.0,19.0,,
496,The College of New Jersey,04/17/2015,2014-15,85.0,47.0,Nationals,
497,Wellesley,04/10/2015,2014-15,45.0,49.0,,
498,William and Mary,04/03/2015,2014-15,44.0,40.0,,
499,UConn,04/03/2015,2014-15,53.0,72.0,,
500,University of Chicago,04/03/2015,2014-15,28.0,34.0,,
501,University of Virginia,04/10/2015,2014-15,44.0,52.0,,
502,Princeton,03/27/2015,2014-15,123.0,140.0,,
503,Providence College,03/20/2015,2014-15,29.0,27.0,,
504,Georgetown,03/20/2015,2014-15,51.0,52.0,,
505,MIT,03/13/2015,2014-15,45.0,38.0,,
506,Franklin and Marshall,03/13/2015,2014-15,26.0,25.0,,
507,Amherst,03/06/2015,2014-15,39.0,32.0,,
508,Stanford,03/07/2015,2014-15,59.0,70.0,,
509,West Point,03/06/2015,2014-15,39.0,29.0,,
510,Bates,02/27/2015,2014-15,37.0,37.0,,
511,Berkeley,02/27/2015,2014-15,11.0,13.0,,
512,American,02/27/2015,2014-15,65.0,76.0,,
513,Yale,02/20/2015,2014-15,93.0,109.0,ProAms,
514,Swarthmore,02/20/2015,2014-15,41.0,46.0,ProAms,
515,Boston University,02/13/2015,2014-15,46.0,41.0,,
516,George Washington,02/13/2015,2014-15,56.0,65.0,,
517,Rutgers,02/06/2015,2014-15,103.0,96.0,,
518,Syracuse,01/30/2015,2014-15,29.0,29.0,,
519,Washington University in St. Louis,01/30/2015,2014-15,20.0,22.0,,
520,The College of New Jersey,01/30/2015,2014-15,55.0,42.0,,
521,Carnegie Mellon,01/16/2015,2014-15,31.0,26.0,,
522,Dartmouth,01/16/2015,2014-15,41.0,37.0,,
523,Middlebury,01/09/2015,2014-15,18.0,10.0,,
524,University of North Carolina,01/09/2015,2014-15,26.0,21.0,,
525,Brandeis,12/05/2014,2014-15,72.0,51.0,,
526,Maryland,11/21/2014,2014-15,66.0,68.0,,
527,Northeastern,11/14/2014,2014-15,84.0,84.0,ProAms,
528,American,11/14/2014,2014-15,98.0,131.0,ProAms,
529,Wesleyan,11/07/2014,2014-15,35.0,34.0,,
530,Fordham,11/07/2014,2014-15,80.0,93.0,,
531,Brown,10/31/2014,2014-15,61.0,64.0,,
532,University of Pittsburgh,10/31/2014,2014-15,29.0,27.0,,
533,Tufts,10/24/2014,2014-15,51.0,51.0,,
534,George Washington,10/24/2014,2014-15,86.0,101.0,,
535,Penn,10/17/2014,2014-15,66.0,67.0,,
536,Brandeis,10/17/2014,2014-15,54.0,57.0,,
537,Harvard,10/10/2014,2014-15,155.0,177.0,,
538,Mount Holyoke,10/03/2014,2014-15,30.0,21.0,,
539,Yale,10/03/2014,2014-15,0.0,0.0,,
540,Vassar,10/03/2014,2014-15,20.0,11.0,,
541,Boston University,09/26/2014,2014-15,0.0,0.0,Novice,
542,Swarthmore,09/26/2014,2014-15,110.0,220.0,Novice,
543,Columbia,09/19/2014,2014-15,97.0,79.0,,
544,Smith,09/12/2014,2014-15,50.0,47.0,,
545,William and Mary,09/12/2014,2014-15,43.0,44.0,,
546,Johns Hopkins,09/05/2014,2014-15,63.0,26.0,,
547,NYU,04/04/2014,2013-14,18.0,15.0,,
548,Binghamton University,04/04/2014,2013-14,25.0,24.0,,
549,Penn,04/18/2014,2013-14,84.0,60.0,Nationals,
550,Georgetown,04/11/2014,2013-14,34.0,49.0,,
551,Amherst,04/11/2014,2013-14,39.0,45.0,,
552,University of Virginia,04/04/2014,2013-14,27.0,27.0,,
553,Princeton,03/28/2014,2013-14,105.0,115.0,,
554,Swarthmore,03/21/2014,2013-14,51.0,52.0,,
555,Boston University,03/21/2014,2013-14,43.0,44.0,,
556,William and Mary,03/14/2014,2013-14,25.0,15.0,,
557,MIT,03/14/2014,2013-14,51.0,55.0,,
558,Stanford,03/07/2014,2013-14,53.0,57.0,,
559,West Point,03/07/2014,2013-14,37.0,34.0,,
560,UConn,03/07/2014,2013-14,33.0,34.0,,
561,American,02/28/2014,2013-14,59.0,75.0,,
562,Bates,02/28/2014,2013-14,22.0,24.0,,
563,University of Albany,02/28/2014,2013-14,34.0,38.0,,
564,Franklin and Marshall,02/21/2014,2013-14,41.0,47.0,ProAms,
565,Yale,02/21/2014,2013-14,91.0,109.0,ProAms,
566,Rutgers,02/14/2014,2013-14,65.0,64.0,,
567,The College of New Jersey,02/07/2014,2013-14,55.0,61.0,,
568,Wellesley,02/07/2014,2013-14,43.0,45.0,,
569,George Washington,01/31/2014,2013-14,48.0,51.0,,
570,Providence College,01/31/2014,2013-14,56.0,59.0,,
571,University of Chicago,01/17/2014,2013-14,32.0,34.0,,
572,Middlebury,01/17/2014,2013-14,41.0,40.0,,
573,Dartmouth,01/10/2014,2013-14,50.0,40.0,,
574,UMBC,12/06/2013,2013-14,34.0,29.0,,
575,Brandeis,12/06/2013,2013-14,0.0,0.0,,
576,George Washington,11/22/2013,2013-14,77.0,86.0,,
577,Tufts,11/22/2013,2013-14,56.0,70.0,,
578,Fordham,11/15/2013,2013-14,62.0,61.0,,
579,Wesleyan,11/15/2013,2013-14,42.0,52.0,,
580,Maryland,11/08/2013,2013-14,59.0,59.0,,
581,American,11/01/2013,2013-14,100.0,118.0,ProAms,
582,Northeastern,11/01/2013,2013-14,72.0,84.0,ProAms,
583,Penn,10/25/2013,2013-14,75.0,69.0,,
584,Brown,10/25/2013,2013-14,81.0,98.0,,
585,University of Pittsburgh,10/18/2013,2013-14,30.0,29.0,,
586,Brandeis,10/18/2013,2013-14,78.0,88.0,,
587,Harvard,10/11/2013,2013-14,135.0,183.0,,
588,Vassar,10/04/2013,2013-14,56.0,46.0,,
589,Yale,10/04/2013,2013-14,0.0,0.0,,
590,Swarthmore,09/27/2013,2013-14,93.0,186.0,Novice,
591,Boston University,09/27/2013,2013-14,115.0,230.0,Novice,
592,Columbia,09/20/2013,2013-14,113.0,0.0,,
593,William and Mary,09/13/2013,2013-14,50.0,45.0,,
594,Smith,09/13/2013,2013-14,46.0,30.0,,
595,Johns Hopkins,09/06/2013,2013-14,80.0,0.0,,
596,Maryland,04/19/2013,2012-13,77.0,37.0,Nationals,
597,Bryn Mawr,04/12/2013,2012-13,26.0,23.0,,
598,University of Chicago,04/12/2013,2012-13,37.0,40.0,,
599,Williams,04/12/2013,2012-13,35.0,40.0,,
600,University of Virginia,04/05/2013,2012-13,29.0,27.0,,
601,Brandeis,04/05/2013,2012-13,78.0,83.0,,
602,UConn,03/29/2013,2012-13,35.0,30.0,,
603,Swarthmore,03/29/2013,2012-13,60.0,65.0,,
604,Cornell,03/29/2013,2012-13,18.0,22.0,,
605,Boston University,03/22/2013,2012-13,94.0,68.0,,
606,William and Mary,03/15/2013,2012-13,30.0,17.0,,
607,Bates,03/15/2013,2012-13,22.0,15.0,,
608,Stanford,03/08/2013,2012-13,54.0,82.0,,
609,Rutgers,03/08/2013,2012-13,45.0,41.0,,
610,MIT,03/01/2013,2012-13,65.0,61.0,,
611,West Point,03/01/2013,2012-13,53.0,51.0,,
612,University of Albany,02/22/2013,2012-13,32.0,27.0,,
613,Franklin and Marshall,02/22/2013,2012-13,47.0,40.0,,
614,Providence College,02/22/2013,2012-13,35.0,27.0,,
615,Princeton,02/15/2013,2012-13,90.0,86.0,,
616,Wellesley,02/08/2013,2012-13,20.0,21.0,,
617,NYU,02/08/2013,2012-13,52.0,51.0,,
618,Amherst,02/01/2013,2012-13,44.0,37.0,,
619,The College of New Jersey,02/01/2013,2012-13,61.0,42.0,,
620,George Washington,01/18/2013,2012-13,51.0,47.0,,
621,Middlebury,01/18/2013,2012-13,40.0,39.0,,
622,Dartmouth,01/11/2013,2012-13,51.0,36.0,,
623,Vassar,11/30/2012,2012-13,31.0,33.0,,
624,Penn,11/30/2012,2012-13,48.0,56.0,,
625,Tufts,11/30/2012,2012-13,57.0,72.0,,
626,Wesleyan,11/16/2012,2012-13,36.0,30.0,,
627,Fordham,11/16/2012,2012-13,66.0,53.0,,
628,American,11/02/2012,2012-13,81.0,93.0,ProAms,
629,Northeastern,11/02/2012,2012-13,75.0,79.0,ProAms,
630,UMBC,10/26/2012,2012-13,39.0,30.0,,
631,Brown,10/26/2012,2012-13,110.0,108.0,,
632,University of Chicago,10/19/2012,2012-13,42.0,84.0,Novice,
633,Yale,10/19/2012,2012-13,0.0,0.0,,
634,Maryland,10/12/2012,2012-13,60.0,57.0,,
635,Mount Holyoke,10/12/2012,2012-13,38.0,33.0,,
636,George Washington,11/09/2012,2012-13,74.0,70.0,,
637,Harvard,10/05/2012,2012-13,140.0,134.0,,
638,Swarthmore,09/28/2012,2012-13,73.0,146.0,Novice,
639,Boston University,09/28/2012,2012-13,118.0,236.0,Novice,
640,University of Pittsburgh,09/21/2012,2012-13,25.0,17.0,,
641,Columbia,09/21/2012,2012-13,110.0,96.0,,
642,William and Mary,09/14/2012,2012-13,43.0,41.0,,
643,Smith,09/14/2012,2012-13,66.0,43.0,,
644,Johns Hopkins,09/07/2012,2012-13,83.0,43.0,,
645,Williams,01/06/2012,2011-12,37.0,30.0,,
646,Wesleyan,04/20/2012,2011-12,74.0,42.0,Nationals,
647,George Washington,04/13/2012,2011-12,58.0,58.0,,
648,Amherst,04/13/2012,2011-12,44.0,45.0,,
649,University of Virginia,04/06/2012,2011-12,39.0,39.0,,
650,Cornell,04/06/2012,2011-12,25.0,29.0,,
651,Catholic University,03/30/2012,2011-12,31.0,38.0,,
652,University of Chicago,03/30/2012,2011-12,40.0,62.0,,
653,Swarthmore,03/30/2012,2011-12,48.0,53.0,,
654,Boston University,03/23/2012,2011-12,82.0,84.0,,
655,William and Mary,03/16/2012,2011-12,28.0,21.0,,
656,MIT,03/16/2012,2011-12,56.0,56.0,,
657,Franklin and Marshall,03/09/2012,2011-12,28.0,35.0,,
658,Bates,03/09/2012,2011-12,24.0,19.0,,
659,West Point,03/02/2012,2011-12,54.0,74.0,,
660,Providence College,03/02/2012,2011-12,46.0,42.0,,
661,UConn,02/24/2012,2011-12,39.0,36.0,,
662,Princeton,02/24/2012,2011-12,79.0,90.0,,
663,Rutgers,02/17/2012,2011-12,81.0,78.0,,
664,The College of New Jersey,02/10/2012,2011-12,33.0,39.0,,
665,Brandeis,02/10/2012,2011-12,79.0,81.0,,
666,Bryn Mawr,02/03/2012,2011-12,28.0,32.0,,
667,NYU,02/03/2012,2011-12,117.0,116.0,,
668,Stanford,01/20/2012,2011-12,40.0,31.0,,
669,Dartmouth,01/13/2012,2011-12,57.0,51.0,,
670,Middlebury,04/06/2012,2011-12,27.0,31.0,,
671,Tufts,12/02/2011,2011-12,71.0,56.0,,
672,UMBC,12/02/2011,2011-12,29.0,34.0,,
673,Wesleyan,11/18/2011,2011-12,23.0,27.0,,
674,Fordham,11/18/2011,2011-12,74.0,78.0,,
675,George Washington,11/11/2011,2011-12,84.0,82.0,,
676,Northeastern,11/04/2011,2011-12,80.0,91.0,ProAms,
677,American,11/04/2011,2011-12,87.0,151.0,ProAms,
678,Penn,10/28/2011,2011-12,58.0,57.0,,
679,Brown,10/28/2011,2011-12,91.0,97.0,,
680,Syracuse,10/21/2011,2011-12,19.0,21.0,,
681,Yale,10/21/2011,2011-12,0.0,0.0,,
682,Maryland,10/14/2011,2011-12,39.0,38.0,,
683,Vassar,10/14/2011,2011-12,38.0,38.0,,
684,Harvard,10/07/2011,2011-12,135.0,149.0,,
685,Swarthmore,09/30/2011,2011-12,80.0,160.0,Novice,
686,Boston University,09/30/2011,2011-12,114.0,228.0,Novice,
687,Columbia,09/23/2011,2011-12,102.0,99.0,,
688,William and Mary,09/16/2011,2011-12,49.0,63.0,,
689,Smith,09/16/2011,2011-12,61.0,49.0,,
690,Johns Hopkins,09/09/2011,2011-12,82.0,56.0,,
691,West Point,04/22/2011,2010-11,100.0,20.0,Nationals,
692,Bryn Mawr,04/15/2011,2010-11,30.0,26.0,,
693,Amherst,04/15/2011,2010-11,51.0,25.0,,
694,Cornell,04/08/2011,2010-11,26.0,29.0,,
695,Swarthmore,04/08/2011,2010-11,35.0,28.0,,
696,Wesleyan,04/01/2011,2010-11,31.0,25.0,,
697,University of Chicago,04/01/2011,2010-11,34.0,36.0,,
698,University of Virginia,04/01/2011,2010-11,26.0,26.0,,
699,Boston University,03/25/2011,2010-11,74.0,67.0,,
700,William and Mary,03/18/2011,2010-11,36.0,25.0,,
701,Maryland,03/11/2011,2010-11,22.0,26.0,,
702,Brandeis,03/11/2011,2010-11,56.0,58.0,,
703,West Point,03/04/2011,2010-11,63.0,53.0,,
704,Stanford,03/04/2011,2010-11,40.0,31.0,,
705,Rutgers,02/25/2011,2010-11,49.0,45.0,,
706,UConn,02/25/2011,2010-11,24.0,24.0,,
707,Princeton,02/18/2011,2010-11,90.0,72.0,,
708,George Washington,02/11/2011,2010-11,43.0,50.0,,
709,Williams,02/11/2011,2010-11,42.0,43.0,,
710,Providence College,02/04/2011,2010-11,52.0,50.0,,
711,NYU,02/04/2011,2010-11,83.0,97.0,,
712,Bates,01/21/2011,2010-11,34.0,25.0,,
713,Dartmouth,01/14/2011,2010-11,61.0,55.0,,
714,Middlebury,01/07/2011,2010-11,34.0,27.0,,
715,UMBC,12/03/2010,2010-11,25.0,20.0,,
716,MIT,12/03/2010,2010-11,92.0,88.0,,
717,Fordham,11/19/2010,2010-11,82.0,75.0,,
718,George Washington,11/12/2010,2010-11,68.0,68.0,,
719,Syracuse,11/12/2010,2010-11,26.0,32.0,,
720,Northeastern,11/05/2010,2010-11,99.0,112.0,ProAms,
721,American,11/05/2010,2010-11,73.0,80.0,ProAms,
722,Penn,10/29/2010,2010-11,39.0,30.0,,
723,Maryland,10/15/2010,2010-11,47.0,45.0,,
724,Tufts,10/29/2010,2010-11,55.0,47.0,,
725,Yale,10/22/2010,2010-11,152.0,0.0,,
726,Vassar,10/15/2010,2010-11,24.0,27.0,,
727,Brown,10/15/2010,2010-11,60.0,64.0,,
728,Harvard,10/08/2010,2010-11,135.0,124.0,,
729,Swarthmore,10/01/2010,2010-11,70.0,140.0,Novice,
730,Boston University,10/01/2010,2010-11,0.0,143.0,Novice,
731,Franklin and Marshall,09/24/2010,2010-11,19.0,20.0,,
732,Columbia,09/24/2010,2010-11,74.0,60.0,,
733,William and Mary,09/17/2010,2010-11,31.0,27.0,,
734,Smith,09/17/2010,2010-11,55.0,38.0,,
735,Johns Hopkins,09/10/2010,2010-11,70.0,49.0,,
736,Syracuse,03/19/2010,2009-10,21.0,29.0,,
737,Swarthmore,04/16/2010,2009-10,71.0,50.0,Nationals,
738,Rutgers,04/09/2010,2009-10,32.0,29.0,,
739,Amherst,04/09/2010,2009-10,57.0,63.0,,
740,University of Chicago,04/02/2010,2009-10,54.0,56.0,,
741,Cornell,04/02/2010,2009-10,22.0,27.0,,
742,University of Virginia,04/02/2010,2009-10,30.0,36.0,,
743,Boston University,03/26/2010,2009-10,102.0,100.0,,
744,William and Mary,03/19/2010,2009-10,45.0,46.0,,
745,Providence College,03/12/2010,2009-10,58.0,58.0,,
746,Stanford,03/05/2010,2009-10,48.0,39.0,,
747,West Point,03/05/2010,2009-10,62.0,71.0,,
748,Franklin and Marshall,02/26/2010,2009-10,18.0,12.0,,
749,Brandeis,02/26/2010,2009-10,67.0,72.0,,
750,Princeton,02/19/2010,2009-10,104.0,101.0,,
751,Bryn Mawr,02/12/2010,2009-10,40.0,39.0,,
752,Wellesley,02/12/2010,2009-10,50.0,39.0,,
753,NYU,02/05/2010,2009-10,88.0,85.0,,
754,George Washington,01/22/2010,2009-10,61.0,50.0,,
755,Bates,01/22/2010,2009-10,32.0,36.0,,
756,Dartmouth,01/15/2010,2009-10,37.0,34.0,,
757,Williams,01/08/2010,2009-10,10.0,10.0,,
758,Middlebury,01/08/2010,2009-10,20.0,18.0,,
759,Mount Holyoke,12/11/2009,2009-10,14.0,12.0,,
760,UMBC,12/04/2009,2009-10,21.0,21.0,,
761,MIT,12/04/2009,2009-10,67.0,81.0,,
762,Fordham,11/20/2009,2009-10,84.0,103.0,,
763,George Washington,11/13/2009,2009-10,59.0,64.0,,
764,Brown,11/13/2009,2009-10,80.0,107.0,,
765,Northeastern,11/06/2009,2009-10,69.0,78.0,ProAms,
766,American,11/06/2009,2009-10,80.0,80.0,ProAms,
767,Penn,10/30/2009,2009-10,44.0,52.0,,
768,Tufts,10/30/2009,2009-10,66.0,66.0,,
769,Maryland,10/16/2009,2009-10,47.0,55.0,,
770,Vassar,10/16/2009,2009-10,41.0,30.0,,
771,Harvard,10/09/2009,2009-10,146.0,152.0,,
772,Columbia,10/02/2009,2009-10,85.0,67.0,,
773,Boston University,09/25/2009,2009-10,108.0,216.0,Novice,
774,Swarthmore,09/25/2009,2009-10,57.0,114.0,Novice,
775,William and Mary,09/18/2009,2009-10,28.0,0.0,,
776,Smith,09/18/2009,2009-10,52.0,0.0,,
777,Johns Hopkins,09/11/2009,2009-10,67.0,0.0,,
778,Wesleyan,04/10/2005,2004-05,60.0,20.0,Nationals,
779,Swarthmore,04/01/2005,2004-05,57.0,50.0,,
780,Clark,04/01/2005,2004-05,24.0,19.0,,
781,University of Chicago,04/01/2005,2004-05,44.0,44.0,,
782,Yale,03/25/2005,2004-05,91.0,74.0,,
783,University of Virginia,03/18/2005,2004-05,33.0,23.0,,
784,Providence College,03/18/2005,2004-05,32.0,15.0,,
785,Duke,03/11/2005,2004-05,16.0,12.0,,
786,Bates,03/11/2005,2004-05,30.0,20.0,,
787,Temple,03/04/2005,2004-05,40.0,40.0,,
788,Stanford,03/04/2005,2004-05,40.0,40.0,,
789,Mount Holyoke,03/04/2005,2004-05,50.0,50.0,,
790,Princeton,02/25/2005,2004-05,94.0,66.0,,
791,William and Mary,02/18/2005,2004-05,50.0,43.0,,
792,Bowdoin College,02/18/2005,2004-05,40.0,40.0,,
793,Rutgers,02/11/2005,2004-05,40.0,40.0,,
794,Boston University,02/11/2005,2004-05,81.0,82.0,,
795,NYU,02/04/2005,2004-05,100.0,74.0,,
796,Bryn Mawr,01/21/2005,2004-05,50.0,50.0,,
797,Amherst,01/21/2005,2004-05,40.0,40.0,,
798,Dartmouth,01/14/2005,2004-05,40.0,40.0,,
799,MIT,12/03/2004,2004-05,84.0,50.0,,
800,Bucknell,12/03/2004,2004-05,22.0,17.0,,
801,Fordham,11/19/2004,2004-05,101.0,72.0,,
802,Penn,11/12/2004,2004-05,77.0,94.0,ProAms,
803,Middlebury,11/12/2004,2004-05,50.0,50.0,,
804,George Washington,11/05/2004,2004-05,50.0,50.0,,
805,Brandeis,11/05/2004,2004-05,50.0,50.0,,
806,Brown,10/29/2004,2004-05,40.0,40.0,,
807,American,10/29/2004,2004-05,32.0,24.0,,
808,Vassar,10/22/2004,2004-05,32.0,32.0,,
809,Columbia,10/22/2004,2004-05,73.0,60.0,,
810,Harvard,10/15/2004,2004-05,157.0,60.0,,
811,Wesleyan,10/08/2004,2004-05,56.0,66.0,,
812,Maryland,10/08/2004,2004-05,31.0,50.0,,
813,Smith,10/01/2004,2004-05,79.0,75.0,,
814,UMBC,10/01/2004,2004-05,55.0,55.0,,
815,Swarthmore,09/24/2004,2004-05,40.0,40.0,Novice,
816,Boston University,09/24/2004,2004-05,80.0,160.0,Novice,
817,Williams,09/17/2004,2004-05,54.0,50.0,,
818,Haverford,09/17/2004,2004-05,57.0,47.0,,
819,Johns Hopkins,09/10/2004,2004-05,60.0,29.0,,
820,Columbia,09/26/2008,2008-09,68.0,0.0,,
821,Rutgers,04/03/2009,2008-09,28.0,31.0,,
822,Clark,04/03/2009,2008-09,35.0,40.0,,
823,American,11/14/2008,2008-09,58.0,70.0,,
824,Mount Holyoke,04/24/2009,2008-09,74.0,0.0,Nationals,
825,Maryland,04/17/2009,2008-09,26.0,30.0,,
826,Amherst,04/17/2009,2008-09,42.0,38.0,,
827,Williams,04/10/2009,2008-09,21.0,18.0,,
828,Swarthmore,04/10/2009,2008-09,47.0,51.0,,
829,University of Chicago,04/03/2009,2008-09,46.0,50.0,,
830,Princeton,03/27/2009,2008-09,92.0,96.0,,
831,Providence College,03/20/2009,2008-09,30.0,32.0,,
832,University of Virginia,03/20/2009,2008-09,17.0,12.0,,
833,MIT,03/13/2009,2008-09,64.0,62.0,,
834,West Point,03/06/2009,2008-09,61.0,44.0,,
835,Stanford,03/06/2009,2008-09,37.0,31.0,,
836,Skidmore,02/27/2009,2008-09,21.0,16.0,,
837,George Washington,02/27/2009,2008-09,51.0,51.0,,
838,Maryland,02/20/2009,2008-09,25.0,27.0,,
839,Boston University,02/20/2009,2008-09,81.0,80.0,,
840,William and Mary,02/13/2009,2008-09,19.0,21.0,,
841,Wellesley,02/13/2009,2008-09,30.0,31.0,,
842,Brandeis,02/06/2009,2008-09,77.0,80.0,,
843,Bryn Mawr,02/06/2009,2008-09,35.0,44.0,,
844,NYU,01/30/2009,2008-09,95.0,80.0,,
845,Dartmouth,01/16/2009,2008-09,44.0,36.0,,
846,Middlebury,01/09/2009,2008-09,24.0,22.0,,
847,Northeastern,12/05/2008,2008-09,40.0,36.0,,
848,Bucknell,12/05/2008,2008-09,17.0,20.0,,
849,Fordham,11/21/2008,2008-09,95.0,80.0,,
850,Cornell,11/14/2008,2008-09,42.0,34.0,,
851,Penn,11/07/2008,2008-09,85.0,111.0,ProAms,
852,Tufts,11/07/2008,2008-09,71.0,79.0,ProAms,
853,Wesleyan,10/31/2008,2008-09,12.0,13.0,,
854,Brown,10/31/2008,2008-09,73.0,58.0,,
855,Yale,10/24/2008,2008-09,92.0,60.0,,
856,George Washington,10/17/2008,2008-09,49.0,60.0,,
857,Vassar,10/17/2008,2008-09,28.0,22.0,,
858,Harvard,10/10/2008,2008-09,137.0,87.0,,
859,William and Mary,09/19/2008,2008-09,34.0,0.0,,
860,Smith,09/19/2008,2008-09,78.0,0.0,,
861,Johns Hopkins,09/12/2008,2008-09,62.0,0.0,,
862,Vassar,04/21/2007,2006-07,71.0,28.0,Nationals,
863,MIT,04/18/2008,2007-08,100.0,20.0,Nationals,
864,Wellesley,04/11/2008,2007-08,40.0,39.0,,
865,Swarthmore,04/11/2008,2007-08,40.0,31.0,,
866,Williams,04/04/2008,2007-08,26.0,22.0,,
867,University of Chicago,04/04/2008,2007-08,36.0,32.0,,
868,University of Virginia,04/04/2008,2007-08,28.0,31.0,,
869,Princeton,03/28/2008,2007-08,96.0,53.0,,
870,William and Mary,03/21/2008,2007-08,26.0,17.0,,
871,Skidmore,03/21/2008,2007-08,14.0,16.0,,
872,Clark,03/21/2008,2007-08,22.0,19.0,,
873,Providence College,03/14/2008,2007-08,35.0,33.0,,
874,American,03/14/2008,2007-08,16.0,13.0,,
875,Stanford,03/07/2008,2007-08,27.0,20.0,,
876,West Point,03/07/2008,2007-08,61.0,57.0,,
877,Boston University,02/29/2008,2007-08,66.0,63.0,,
878,Rutgers,02/29/2008,2007-08,29.0,26.0,,
879,Northeastern,02/22/2008,2007-08,27.0,23.0,,
880,Columbia,02/22/2008,2007-08,62.0,71.0,,
881,Amherst,02/15/2008,2007-08,28.0,26.0,,
882,William and Mary,02/15/2008,2007-08,27.0,23.0,,
883,Brandeis,02/08/2008,2007-08,67.0,60.0,,
884,Bryn Mawr,02/08/2008,2007-08,20.0,19.0,,
885,NYU,02/01/2008,2007-08,97.0,83.0,,
886,Bates,01/18/2008,2007-08,22.0,18.0,,
887,Dartmouth,01/11/2008,2007-08,46.0,37.0,,
888,Mount Holyoke,12/07/2007,2007-08,32.0,30.0,,
889,MIT,11/30/2007,2007-08,69.0,64.0,,
890,Bucknell,11/30/2007,2007-08,29.0,27.0,,
891,Fordham,11/16/2007,2007-08,81.0,69.0,,
892,Tufts,11/09/2007,2007-08,87.0,110.0,ProAms,
893,Penn,11/09/2007,2007-08,62.0,0.0,ProAms,
894,Cornell,11/03/2007,2007-08,35.0,40.0,,
895,George Washington,11/03/2007,2007-08,71.0,0.0,,
896,Yale,10/26/2007,2007-08,112.0,78.0,,
897,Wesleyan,10/19/2007,2007-08,51.0,0.0,,
898,Maryland,10/19/2007,2007-08,39.0,0.0,,
899,Brown,10/12/2007,2007-08,57.0,60.0,,
900,Vassar,10/12/2007,2007-08,16.0,16.0,,
901,American,10/12/2007,2007-08,29.0,27.0,,
902,Harvard,10/05/2007,2007-08,124.0,108.0,,
903,Boston University,09/28/2007,2007-08,114.0,0.0,Novice,
904,Swarthmore,09/28/2007,2007-08,0.0,0.0,Novice,
905,Smith,09/21/2007,2007-08,58.0,0.0,,
906,George Washington,09/21/2007,2007-08,20.0,20.0,,
907,Johns Hopkins,09/14/2007,2007-08,48.0,0.0,,
908,Columbia,09/07/2007,2007-08,22.0,44.0,Novice,
