id,name,date,season,teams,novice_debaters,special,online
103,Johns Hopkins,04/05/2024,2023-24,28.0,24.0,,
104,Amherst,04/05/2024,2023-24,26.0,28.0,,
105,University of Virginia,03/29/2024,2023-24,17.0,14.0,Gender Minority,
106,Wellesley,03/29/2024,2023-24,12.0,11.0,Gender Minority,
107,Georgetown,03/22/2024,2023-24,38.0,31.0,,
108,Northeastern,03/22/2024,2023-24,19.0,16.0,,
109,Swarthmore,03/15/2024,2023-24,17.0,16.0,,
110,Brandeis,03/15/2024,2023-24,24.0,22.0,,
111,Maryland,03/08/2024,2023-24,16.0,10.0,,
112,Brown,03/08/2024,2023-24,27.0,28.0,,
113,William and Mary,03/01/2024,2023-24,16.0,15.0,,
114,Yale,03/01/2024,2023-24,61.0,71.0,,
115,American,02/23/2024,2023-24,29.0,35.0,ProAms,
116,NYU,02/23/2024,2023-24,90.0,111.0,ProAms,
117,Rutgers,02/16/2024,2023-24,52.0,55.0,,
118,Tufts,02/09/2024,2023-24,46.0,50.0,,
119,University of Pittsburgh,02/09/2024,2023-24,14.0,12.0,Expansion,
120,Boston University,02/02/2024,2023-24,40.0,45.0,,
121,Penn,02/02/2024,2023-24,42.0,41.0,,
122,Carnegie Mellon,01/26/2024,2023-24,14.0,15.0,Expansion,
123,Williams,01/26/2024,2023-24,21.0,14.0,,
124,NYU,01/12/2024,2023-24,31.0,18.0,,
125,Odette,01/05/2024,2023-24,27.0,20.0,,
126,Columbia,12/01/2023,2023-24,54.0,70.0,BIPOC,
127,Fordham,11/17/2023,2023-24,76.0,84.0,,
128,Maryland,11/10/2023,2023-24,28.0,21.0,,
129,Brown + Wesleyan,11/10/2023,2023-24,50.0,49.0,,
130,Northeastern,11/03/2023,2023-24,83.0,109.0,ProAms,
131,George Washington,11/03/2023,2023-24,63.0,73.0,ProAms,
132,Yale,10/27/2023,2023-24,92.0,74.0,,
133,Brandeis,10/27/2023,2023-24,18.0,17.0,,
134,Georgetown,10/27/2023,2023-24,24.0,23.0,,
135,Boston University,09/29/2023,2023-24,96.0,212.0,Novice,
136,Williams,10/20/2023,2023-24,34.0,37.0,,Online
137,University of Virginia,10/20/2023,2023-24,22.0,22.0,,
138,Bates,10/13/2023,2023-24,11.0,8.0,,
139,Harvard,10/06/2023,2023-24,112.0,132.0,,
140,Swarthmore,09/29/2023,2023-24,25.0,50.0,Novice,
141,Johns Hopkins,09/29/2023,2023-24,34.0,68.0,Novice,
142,Binghamton University,09/22/2023,2023-24,28.0,17.0,Expansion,
143,Drexel,09/08/2023,2023-24,19.0,6.0,,
144,University of Chicago,03/10/2023,2022-23,19.0,25.0,,Online
145,Georgetown,02/17/2023,2022-23,35.0,35.0,,Online
146,Boston University,04/14/2023,2022-23,16.0,18.0,BIPOC,
147,Johns Hopkins,04/14/2023,2022-23,12.0,14.0,BIPOC,
148,The College of New Jersey,03/03/2023,2022-23,16.0,15.0,,
149,Yale,10/29/2022,2022-23,92.0,74.0,,
150,Georgetown,04/28/2023,2022-23,60.0,49.0,Nationals,
151,NYU,04/22/2023,2022-23,90.0,106.0,,
152,Brandeis,04/21/2023,2022-23,17.0,24.0,,
153,University of Massachusetts,04/07/2023,2022-23,25.0,25.0,,
154,Princeton,03/31/2023,2022-23,87.0,103.0,,
155,University of Virginia,03/17/2023,2022-23,17.0,11.0,,
156,Northeastern,03/24/2023,2022-23,32.0,36.0,,
157,Swarthmore,03/24/2023,2022-23,31.0,36.0,,
158,Boston University,03/17/2023,2022-23,31.0,35.0,,
159,Yale,03/03/2023,2022-23,51.0,69.0,,
160,Rutgers,02/24/2023,2022-23,68.0,74.0,,
161,Maryland,03/10/2023,2022-23,12.0,14.0,ProAms,
162,Wesleyan,02/17/2023,2022-23,24.0,26.0,,
163,Brown,03/10/2023,2022-23,40.0,50.0,ProAms,
164,Johns Hopkins,02/03/2023,2022-23,18.0,13.0,,
165,Wellesley,02/03/2023,2022-23,30.0,32.0,,
166,Carnegie Mellon,01/27/2023,2022-23,17.0,29.0,Expansion,
167,George Washington,02/10/2023,2022-23,45.0,48.0,,
168,Penn,01/20/2023,2022-23,34.0,34.0,,
169,Williams,01/20/2023,2022-23,18.0,20.0,,
170,University of Chicago,01/13/2023,2022-23,25.0,22.0,,
171,Maryland,12/02/2022,2022-23,16.0,17.0,Gender Minority,
172,Wellesley,12/02/2022,2022-23,18.0,19.0,Gender Minority,
173,Brown,11/18/2022,2022-23,56.0,52.0,,
174,Columbia,11/11/2022,2022-23,109.0,148.0,,
175,University of Virginia,10/14/2022,2022-23,14.0,13.0,,
176,Fordham,11/04/2022,2022-23,57.0,62.0,,
177,University of Pittsburgh,10/28/2022,2022-23,20.0,20.0,Expansion,
178,George Washington,10/21/2022,2022-23,57.0,78.0,ProAms,
179,Northeastern,10/21/2022,2022-23,83.0,97.0,ProAms,
180,Tufts,10/14/2022,2022-23,46.0,49.0,,
181,Villanova,10/07/2022,2022-23,12.0,13.0,,
182,Harvard,10/07/2022,2022-23,85.0,111.0,,
183,Georgetown,09/30/2022,2022-23,23.0,19.0,,
184,Brandeis,10/01/2022,2022-23,23.0,27.0,,
185,Johns Hopkins,09/23/2022,2022-23,35.0,70.0,Novice,
186,Swarthmore,09/23/2022,2022-23,32.0,64.0,Novice,
187,William and Mary,09/16/2022,2022-23,16.0,6.0,,
188,Smith,09/16/2022,2022-23,10.0,3.0,,
189,Binghamton University,09/09/2022,2022-23,10.0,0.0,Expansion,
190,Boston University,04/01/2022,2021-22,24.0,28.0,,
191,Williams,04/22/2022,2021-22,24.0,23.0,,
192,NYU,04/22/2022,2021-22,20.0,14.0,,Online
193,Brown,02/11/2022,2021-22,26.0,52.0,Novice,
194,Swarthmore,09/24/2021,2021-22,66.0,132.0,Novice,Online
195,Boston University,04/29/2022,2021-22,69.0,54.0,Nationals,
196,Brown,04/08/2022,2021-22,60.0,70.0,,
197,University of Virginia,04/01/2022,2021-22,22.0,19.0,,
198,Wellesley,04/15/2022,2021-22,21.0,21.0,Gender Minority,Online
